Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.0.175","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.4.41 (Ubuntu)"
"10114","CVE-1999-0524","2.1","Low","192.168.0.175","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
"
"10150","","","None","192.168.0.175","udp","137","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 7 NetBIOS names have been gathered :

 UBUNTU           = Computer name
 UBUNTU           = Messenger Service
 UBUNTU           = File Server Service
 __MSBROWSE__     = Master Browser
 WORKGROUP        = Workgroup / Domain name
 WORKGROUP        = Master Browser
 WORKGROUP        = Browser Service Elections

This SMB server seems to be a Samba server - its MAC address is NULL."
"10267","","","None","192.168.0.175","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.1
SSH supported authentication : publickey,password
"
"10287","","","None","192.168.0.175","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.0.178 to 192.168.0.175 : 
192.168.0.178
192.168.0.175

Hop Count: 1
"
"10302","","","None","192.168.0.175","tcp","80","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

User-Agent: *
Disallow: 
Disallow: /tiki/
"
"10395","","","None","192.168.0.175","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host :

  - print$
  - Notes
  - IPC$
"
"10785","","","None","192.168.0.175","tcp","445","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","It was possible to obtain information about the remote operating
system.","Nessus was able to obtain the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port
139 or 445. Note that this plugin requires SMB to be enabled on the
host.","n/a","","Nessus was able to obtain the following information about the host, by 
parsing the SMB2 Protocol's NTLM SSP message:

	Target Name: UBUNTU
	NetBIOS Domain Name: UBUNTU
	NetBIOS Computer Name: UBUNTU
	DNS Domain Name: "
"10859","","","None","192.168.0.175","tcp","445","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration","It is possible to obtain the host SID for the remote host.","By emulating the call to LsaQueryInformationPolicy(), it was possible
to obtain the host SID (Security Identifier).

The host SID can then be used to get the list of local users.","You can prevent anonymous lookups of the host SID by setting the
'RestrictAnonymous' registry setting to an appropriate value.

Refer to the 'See also' section for guidance.","http://technet.microsoft.com/en-us/library/bb418944.aspx","
The remote host SID value is : S-1-5-21-4134020711-1526993497-85718105

The value of 'RestrictAnonymous' setting is : unknown
"
"10881","","","None","192.168.0.175","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11011","","","None","192.168.0.175","tcp","139","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
An SMB server is running on this port.
"
"11011","","","None","192.168.0.175","tcp","445","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
A CIFS server is running on this port.
"
"11936","","","None","192.168.0.175","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

 
The remote host is running Linux Kernel 2.6"
