Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.0.142","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.0.52 (CentOS)"
"10107","","","None","192.168.0.142","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.0.52 (CentOS)"
"10107","","","None","192.168.0.142","tcp","631","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

CUPS/1.1"
"10114","CVE-1999-0524","2.1","Low","192.168.0.142","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is 8066 seconds.
"
"10223","CVE-1999-0632","0.0","None","192.168.0.142","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","",""
"10267","","","None","192.168.0.142","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-1.99-OpenSSH_3.9p1
SSH supported authentication : publickey,gssapi-with-mic,password
"
"10287","","","None","192.168.0.142","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.0.171 to 192.168.0.142 : 
192.168.0.171
192.168.0.142

Hop Count: 1
"
"10719","","","None","192.168.0.142","tcp","3306","MySQL Server Detection","A database server is listening on the remote port.","The remote host is running MySQL, an open source database server.","n/a","","
The remote database access is restricted and configured to reject access
from unauthorized IPs.  Therefore it was not possible to extract its
version number."
"10719","","","None","192.168.0.142","tcp","3306","MySQL Server Detection","A database server is listening on the remote port.","The remote host is running MySQL, an open source database server.","n/a","","
  Service : mysql
  Version : unknown
"
"10719","","","None","192.168.0.142","tcp","3306","MySQL Server Detection","A database server is listening on the remote port.","The remote host is running MySQL, an open source database server.","n/a","","
  Service : mysql
  Version : unknown
"
"10863","","","None","192.168.0.142","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain

Issuer Name: 

Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain

Serial Number: 00 

Version: 3

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Oct 08 00:10:47 2009 GMT
Not Valid After: Oct 08 00:10:47 2010 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 DE 1D B8 D5 44 AF 86 8B 4D 47 EC 8D A7 17 29 C0 9A 46 CD 
            68 4F 1B 1D 35 32 31 92 9E D2 57 63 C3 0F E9 81 63 9B 21 B1 
            7B 7F 14 C1 BB 52 97 F8 83 AD 39 F9 6E 99 12 17 C1 5A 92 D7 
            A2 70 C5 69 12 31 C6 7E 00 19 23 8B 83 CA B6 D2 45 2D F6 9D 
            87 66 E7 DA 48 B4 B0 7D 2C 09 F8 24 CC C1 8B 4D F0 05 34 8E 
            17 F7 AF 4C BC 8E BF A3 8C 45 34 1D 3E 0E E1 85 DC 9C 34 6F 
            6C 85 1E 1C A7 9D 3C FB 13 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 1E FA BB 28 F7 94 4E 7D FA 4B 3F C0 BB DE 53 98 2E DA 4A 
           48 48 90 65 47 31 11 A1 59 EE CA 4C 47 E5 A9 07 DF 61 3A 89 
           39 2E 31 B2 EF C5 C4 34 72 F4 81 8E 6A 9B 32 20 B1 84 C7 9E 
           DA A6 E0 98 25 6D ED A7 03 14 AE 95 17 BB FC 7D 83 72 CC F9 
           58 21 88 7D 17 C4 C3 9F 6E E7 95 86 A5 99 FB 23 FC 2E 2B 11 
           3A BE 6E F8 57 86 38 10 48 20 D0 26 A5 65 17 DB 11 1D 07 8A 
           7D ED 66 33 3F 4D EB 11 05 

Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 40 0B 3E 3B 0A 99 21 8B 16 0A 54 36 64 16 AF DA E3 CF FE 60 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: 40 0B 3E 3B 0A 99 21 8B 16 0A 54 36 64 16 AF DA E3 CF FE 60 
Country: --
State/Province: SomeState
Locality: SomeCity
Organization: SomeOrganization
Organization Unit: SomeOrganizationalUnit
Common Name: localhost.localdomain
Email Address: root@localhost.localdomain
Serial Number: 00 


Extension: Basic Constraints(2.5.29.19)
Critical: 0
CA: TRUE


Fingerprints : 

SHA-256 Fingerprint: 5C 68 D0 0C 48 66 D8 1F 66 51 99 D5 C2 DA 7E 8A 90 B6 A3 FB 
                     57 CA 42 A3 32 15 61 97 26 D0 2C D7 
SHA-1 Fingerprint: 56 0C 91 96 65 06 FB 0F FB 81 66 B1 DE D3 AC 11 2E D4 80 8A 
MD5 Fingerprint: 01 DE 29 F9 FB FB 2E B2 BE AF E6 24 31 57 09 0F 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEDDCCA3WgAwIBAgIBADANBgkqhkiG9w0BAQQFADCBuzELMAkGA1UEBhMCLS0xEjAQBgNVBAgTCVNvbWVTdGF0ZTERMA8GA1UEBxMIU29tZUNpdHkxGTAXBgNVBAoTEFNvbWVPcmdhbml6YXRpb24xHzAdBgNVBAsTFlNvbWVPcmdhbml6YXRpb25hbFVuaXQxHjAcBgNVBAMTFWxvY2FsaG9zdC5sb2NhbGRvbWFpbjEpMCcGCSqGSIb3DQEJARYacm9vdEBsb2NhbGhvc3QubG9jYWxkb21haW4wHhcNMDkxMDA4MDAxMDQ3WhcNMTAxMDA4MDAxMDQ3WjCBuzELMAkGA1UEBhMCLS0xEjAQBgNVBAgTCVNvbWVTdGF0ZTERMA8GA1UEBxMIU29tZUNpdHkxGTAXBgNVBAoTEFNvbWVPcmdhbml6YXRpb24xHzAdBgNVBAsTFlNvbWVPcmdhbml6YXRpb25hbFVuaXQxHjAcBgNVBAMTFWxvY2FsaG9zdC5sb2NhbGRvbWFpbjEpMCcGCSqGSIb3DQEJARYacm9vdEBsb2NhbGhvc3QubG9jYWxkb21haW4wgZ8wDQYJKoZIhvcNAQEBBQADgY0AMIGJAoGBAN4duNVEr4aLTUfsjacXKcCaRs1oTxsdNTIxkp7SV2PDD+mBY5shsXt/FMG7Upf4g605+W6ZEhfBWpLXonDFaRIxxn4AGSOLg8q20kUt9p2HZufaSLSwfSwJ+CTMwYtN8AU0jhf3r0y8jr+jjEU0HT4O4YXcnDRvbIUeHKedPPsTAgMBAAGjggEcMIIBGDAdBgNVHQ4EFgQUQAs+OwqZIYsWClQ2ZBav2uPP/mAwgegGA1UdIwSB4DCB3YAUQAs+OwqZIYsWClQ2ZBav2uPP/mChgcGkgb4wgbsxCzAJBgNVBAYTAi0tMRIwEAYDVQQIEwlTb21lU3RhdGUxETAPBgNVBAcTCFNvbWVDaXR5MRkwFwYDVQQKExBTb21lT3JnYW5pemF0aW9uMR8wHQYDVQQLExZTb21lT3JnYW5pemF0aW9uYWxVbml0MR4wHAYDVQQDExVsb2NhbGhvc3QubG9jYWxkb21haW4xKTAnBgkqhkiG9w0BCQEWGnJvb3RAbG9jYWxob3N0LmxvY2FsZG9tYWluggEAMAwGA1UdEwQFMAMBAf8wDQYJKoZIhvcNAQEEBQADgYEAHvq7KPeUTn36Sz/Au95TmC7aSkhIkGVHMRGhWe7KTEflqQffYTqJOS4xsu/FxDRy9IGOapsyILGEx57apuCYJW3tpwMUrpUXu/x9g3LM+VghiH0XxMOfbueVhqWZ+yP8LisROr5u+FeGOBBIINAmpWUX2xEdB4p97WYzP03rEQU=
-----END CERTIFICATE-----"
"10881","","","None","192.168.0.142","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.33
  - 1.5
  - 1.99
  - 2.0


SSHv1 host key fingerprint : 8f:3e:8b:1e:58:63:fe:cf:27:a3:18:09:3b:52:cf:72
"
"10882","CVE-2001-0361","7.5","High","192.168.0.142","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"10882","CVE-2001-0572","7.5","High","192.168.0.142","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"10882","CVE-2001-1473","7.5","High","192.168.0.142","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"11111","","","None","192.168.0.142","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.0.142","tcp","810","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 810 :

 - program: 100024 (status), version: 1
"
"11111","","","None","192.168.0.142","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.0.142","udp","807","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 807 :

 - program: 100024 (status), version: 1
"
